cluster,FEPA
Pt1,0.0000
Pt1-,0.0000
Pt1+,0.0000
Pt1S1,-2.1641
Pt1S1-,-2.1708
Re1C1,-3.0245
Re1C1-,-3.1542
Re1N1,-2.7712
Re1N1-,-3.4638
Re1N1+,-2.5174
Re1O1-,-2.9743
Re1,0.0000
Re1-,0.0000
Re1+,0.0000
Re1S1,-2.0905
Re1S1-,-1.9337
Re1S1+,-1.8139
Rh1C1-,-3.0439
Rh1C1+,-3.0450
Rh1N1,-1.8836
Rh1N1-,-2.1736
Rh1N1+,-1.5181
Rh1O1,-2.2022
Rh1O1-,-2.4691
Rh1O1+,-1.6176
Rh1,0.0000
Rh1-,0.0000
Rh1+,0.0000
Rh1S1,-1.8715
Rh1S1-,-1.8166
Rh1S1+,-1.5802
Ru1C1,-3.1922
Ru1C1-,-3.1439
Ru1C1+,-3.1817
Ru1N1,-2.4371
Ru1N1-,-2.8783
Ru1N1+,-2.4470
Ru1O1,-2.5790
Ru1O1-,-2.7243
Ru1O1+,-2.0070
Ru1-,0.0000
Ru1+,0.0000
Ru1S1,-2.1264
Ru1S1-,-1.9213
Ru1S1+,-1.7341
Sc1C1,-1.8781
Sc1C1-,-1.7203
Sc1C1+,-1.8105
Sc1N1,-2.2956
Sc1N1-,-2.8497
Sc1N1+,-1.9847
Sc1O1,-3.6117
Sc1O1-,-3.6408
Sc1O1+,-3.5602
Sc1,0.0000
Sc1-,0.0000
Sc1+,0.0000
Sc1S1-,-2.3419
Sc1S1+,-2.5078
Ta1C1,-2.6688
Ta1C1-,-2.9203
Ta1C1+,-2.2740
Ta1N1,-3.2100
Ta1N1-,-3.7796
Ta1O1,-4.0430
Ta1O1-,-4.0875
Ta1O1+,-3.7909
Ta1,0.0000
Ta1-,0.0000
Ta1+,0.0000
Ta1S1,-2.8639
Ta1S1-,-2.5831
Tc1C1,-3.2503
Tc1C1-,-3.1354
Tc1C1+,-2.8972
Tc1N1-,-3.1454
Tc1N1+,-2.4550
Tc1O1,-2.8910
Tc1O1-,-2.9428
Tc1O1+,-2.0877
Tc1,0.0000
Tc1-,0.0000
Tc1+,0.0000
Tc1S1,-2.3582
Tc1S1-,-2.0272
Ti1C1,-2.2332
Ti1C1-,-2.1113
Ti1C1+,-2.0601
Ti1N1,-2.7644
Ti1N1-,-3.4699
Ti1N1+,-2.5027
Ti1O1,-3.7607
Ti1,0.0000
Ti1-,0.0000
Ti1+,0.0000
Ti1S1,-2.7584
Ti1S1+,-2.3421
V1C1,-2.2494
V1C1-,-2.1287
V1C1+,-1.9606
V1N1,-2.6936
V1N1-,-3.0603
V1O1,-3.4526
V1O1-,-3.2834
V1O1+,-3.0281
V1,0.0000
V1-,0.0000
V1+,0.0000
V1S1,-2.4987
V1S1-,-1.9212
V1S1+,-1.9670
W1C1,-2.5485
W1C1-,-2.8398
W1C1+,-2.5338
W1N1,-3.1177
W1N1-,-3.4211
W1N1+,-2.8343
W1O1,-3.4138
W1O1+,-3.6724
W1,0.0000
W1-,0.0000
W1+,0.0000
W1S1,-2.3126
W1S1-,-2.0370
Y1C1,-1.8734
Y1C1-,-1.9157
Y1C1+,-1.9445
Y1N1,-2.2063
Y1N1-,-2.9796
Y1N1+,-2.1566
Y1O1,-3.6610
Y1O1-,-3.8011
Y1O1+,-3.7301
Y1,0.0000
Y1-,0.0000
Y1S1,-2.7874
Y1S1-,-2.6026
Y1S1+,-2.7638
Zn1C1,-0.7177
Zn1C1-,-0.6208
Zn1C1+,-0.9214
Zn1N1,-0.2730
Zn1N1-,-0.8365
Zn1N1+,-0.6662
Zn1O1,-0.7630
Zn1,0.0000
Zn1-,0.0000
Zn1+,0.0000
Zn1S1,-0.7676
Zn1S1-,-0.7978
Zn1S1+,-1.0580
Zr1C1,-2.6059
Zr1C1-,-2.6441
Zr1C1+,-2.6015
Zr1N1,-3.1323
Zr1N1-,-3.5164
Zr1N1+,-3.0785
Zr1O1,-4.0613
Zr1O1-,-4.1469
Zr1O1+,-3.9174
Zr1,0.0000
Zr1-,0.0000
Zr1+,0.0000
Zr1S1,-3.0309
Zr1S1+,-2.8288
Ag1Au1,-1.0563
Ag1Au1-,-0.6863
Ag1Au1+,-0.6750
Ag1Cd1-,-0.3151
Ag1Cd1+,-0.8896
Ag1Co1C1-,-2.3830
Ag1Co1C1+,-2.2439
Ag1Co1C2,-3.5341
Ag1Co1C2-,-3.5324
Ag1Co1N1C1,-3.5859
Ag1Co1N1,-2.0296
Ag1Co1N1-,-2.1392
Ag1Co1N2,-3.3304
Ag1Co1N2+,-3.1924
Ag1Co1O1C1,-3.8062
Ag1Co1O1C1-,-3.9041
Ag1Co1O1N1,-2.9003
Ag1Co1O1N1-,-2.9720
Ag1Co1O1,-2.3441
Ag1Co1O1-,-2.6287
Ag1Co1O1+,-2.2583
Ag1Co1O2,-2.8571
Ag1Co1O2+,-2.5813
Ag1Co1S1C1-,-3.1068
Ag1Co1S1N1-,-2.5919
Ag1Co1S1O1,-2.7648
Ag1Co1S1O1-,-2.9131
Ag1Co1S1,-2.1743
Ag1Co1S1-,-2.2596
Ag1Co1S1+,-2.1593
Ag1Co1S2,-2.6626
Ag1Co1S2-,-2.7838
Ag1Co1S2+,-2.4039
Ag1Cr1C1,-1.7771
Ag1Cr1C1-,-1.8759
Ag1Cr1C1+,-2.0839
Ag1Cr1C2,-3.2471
Ag1Cr1C2+,-3.2813
Ag1Cr1N1C1,-3.2406
Ag1Cr1N1C1-,-3.5717
Ag1Cr1N1,-1.8740
Ag1Cr1N1-,-1.9566
Ag1Cr1N2,-2.9282
Ag1Cr1N2+,-2.9301
Ag1Cr1O1C1,-3.3332
Ag1Cr1O1C1-,-3.2596
Ag1Cr1O1N1,-2.5731
Ag1Cr1O1N1-,-2.9084
Ag1Cr1O1-,-2.2884
Ag1Cr1O1+,-2.1098
Ag1Cr1O2,-2.9690
Ag1Cr1O2+,-2.8850
Ag1Cr1S1C1,-2.6063
Ag1Cr1S1C1-,-2.5542
Ag1Cr1S1N1,-2.4186
Ag1Cr1S1N1-,-2.4330
Ag1Cr1S1O1,-2.7056
Ag1Cr1S1O1-,-2.8272
Ag1Cr1S1,-1.7618
Ag1Cr1S1-,-1.7181
Ag1Cr1S1+,-1.8389
Ag1Cr1S2,-2.4509
Ag1Cr1S2+,-2.2562
Ag1Cu1C1,-1.6307
Ag1Cu1C1-,-1.7898
Ag1Cu1C1+,-1.7293
Ag1Cu1C2,-3.3000
Ag1Cu1C2-,-3.3000
Ag1Cu1C2+,-3.3259
Ag1Cu1N1C1-,-3.7378
Ag1Cu1N1,-1.3727
Ag1Cu1N1-,-1.3563
Ag1Cu1N1+,-1.4285
Ag1Cu1N2,-3.0522
Ag1Cu1N2+,-3.1003
Ag1Cu1O1C1,-3.4950
Ag1Cu1O1C1-,-3.3652
Ag1Cu1O1N1,-2.4061
Ag1Cu1O1N1-,-2.5539
Ag1Cu1O1,-1.7445
Ag1Cu1O1-,-1.7756
Ag1Cu1O1+,-1.8207
Ag1Cu1O2,-2.1615
Ag1Cu1O2-,-2.4554
Ag1Cu1O2+,-2.0782
Ag1Cu1S1C1,-2.7362
Ag1Cu1S1N1,-2.0799
Ag1Cu1S1N1-,-2.1505
Ag1Cu1S1O1-,-2.2799
Ag1Cu1S1,-1.8315
Ag1Cu1S1-,-1.6194
Ag1Cu1S1+,-1.8841
Ag1Cu1S2,-2.1272
Ag1Cu1S2-,-2.3048
Ag1Cu1S2+,-2.1724
Ag1Fe1C1-,-2.1916
Ag1Fe1C1+,-2.3226
Ag1Fe1C2,-3.3235
Ag1Fe1C2-,-3.5433
Ag1Fe1C2+,-3.6591
Ag1Fe1N1C1,-3.4030
Ag1Fe1N1C1-,-3.6675
Ag1Fe1N1,-1.7975
Ag1Fe1N1-,-1.8964
Ag1Fe1N2,-3.0895
Ag1Fe1N2+,-3.2437
Ag1Fe1O1C1,-3.5790
Ag1Fe1O1C1-,-3.5710
Ag1Fe1O1,-2.2120
Ag1Fe1O1-,-2.4708
Ag1Fe1O1+,-2.5093
Ag1Fe1O2-,-3.1165
Ag1Fe1S1C1,-2.8871
Ag1Fe1S1C1-,-2.8374
Ag1Fe1S1N1,-2.4556
Ag1Fe1S1O1,-2.6703
Ag1Fe1S1O1-,-2.7458
Ag1Fe1S1,-1.9822
Ag1Fe1S1+,-2.2707
Ag1Fe1S2,-2.5272
Ag1Fe1S2-,-2.6125
Ag1Fe1S2+,-2.5488
Ag1Hf1,-0.8116
Ag1Hf1-,-0.6744
Ag1Hf1+,-1.1495
Ag1Hg1,-0.1501
Ag1Hg1-,-0.2633
Ag1Hg1+,-0.6376
Ag1Ir1,-1.0002
Ag1Ir1-,-0.8015
Ag1Ir1+,-0.9182
Ag1La1,-0.8591
Ag1La1+,-1.0350
Ag1Mn1C1,-1.9730
Ag1Mn1C1-,-2.0187
Ag1Mn1C1+,-1.8639
Ag1Mn1C2,-3.2245
Ag1Mn1C2-,-3.2582
Ag1Mn1C2+,-3.4726
Ag1Mn1N1C1,-3.4194
Ag1Mn1N1C1-,-3.4280
Ag1Mn1N1,-1.6963
Ag1Mn1N1-,-1.7844
Ag1Mn1N1+,-1.7491
Ag1Mn1N2,-2.9089
Ag1Mn1N2-,-2.8066
Ag1Mn1N2+,-3.0297
Ag1Mn1O1C1,-3.3391
Ag1Mn1O1N1,-2.6469
Ag1Mn1O1N1-,-2.8954
Ag1Mn1O1,-2.1362
Ag1Mn1O1-,-2.3903
Ag1Mn1O1+,-2.2417
Ag1Mn1O2-,-3.1025
Ag1Mn1O2+,-2.6624
Ag1Mn1S1C1,-2.6776
Ag1Mn1S1C1-,-2.7102
Ag1Mn1S1N1,-2.3906
