cluster,Predicted SM
Ir1Ta1Pd1Ti1S2N1,2
Pt4+,2
Pd1Tc2V1S1-,4
Hg1Ru1Zr2N3+,1
Re2W1Tc1O2C1,3
Hf3V1O1N2+,4
Ir1W1Zr2O4+,1
Os2Co2S1O1+,7
Os1Ta2Ti1O3N1-,2
Re1Hf1Cd1Rh1O1,2
Ru2Cr2O1N2,6
W1La1Ag1Y1N1-,2
Ru1Ni3S2-,6
Ta2Nb1Y1C4+,1
Ru2V1Ti1C3-,1
Cd1Mo1Zn2S1O1N1+,3
Pt1Hf1La1Cu1S1N2C1-,1
Re1W1Hf1Zr1N1-,2
Au2Pd1Rh1O4,2
Os1Hf3O3C1,1
Ir1Hf2Nb1S1O3+,2
Re2Co2N1C2-,5
Pt3Cr1O2C1,5
Ru3Cr1S3,3
Os2V2N3+,2
Rh2Co2O1N2,5
Hg1Au1W1Rh1S4,2
Hg1Au1Pt2C3+,1
Pt1Ta1Co2S1N2+,3
Ta1Cd2Mo1O2C1,2
W1Zr3O1C3+,2
Hf1Tc1Mn2O3N1,6
Os1Ta1Hf1La1O4+,2
Pt2Ag2O1-,1
Pd1Mn2Cr1C1,12
Ru1Tc3N2,3
Ta1Zn1Cu1Sc1N1C1,1
W1Pd3S1,3
Co3Cr1S1+,9
Hg1Ti3N1+,3
Tc1Fe2Cr1N3C1+,10
Os1Hf1Zr2O4-,2
Ag2Ru1Ti1S3N1,1
Ta1Sc3O2+,2
Hg2W2O1C2+,2
Ta2Ru1Fe1S1O2N1-,4
Au1Y2Cr1S1C1-,4
Cd3Cr1S1+,6
Os1Ta1Hf1Sc1O4+,2
Cd1Cu1V2S2O1N1+,1
Re1Cd1Pd1Tc1O1C1,3
Pt2Nb2N1+,2
La1Ag1Y1V1S1O3,3
Ta1Pd1Y1Cr1S1,3
Zr1Ni1Ti2S2O2+,2
Re1Hf1Mo1Y1O1+,2
Ta4O3+,3
Cr1V3S1C1+,5
La1Tc3O3,3
Ir1Ta1Zr1V1O4+,1
Ta1Hf1Zr1Y1O4+,2
Y2Ni2O1C2-,3
Os1Ta1Hf1La1O4-,2
Pt1Os1Ru1Nb1O1N1C1+,2
Hg1Au1Re1Ru1S1O3+,2
Rh1Co3O2-,9
Fe4S1-,14
Os1Zr2Ti1O4,1
Mn2Y1Cd1+,10
La2Zr2O1N1C1+,2
Tc1Mo2Ni1O1N3,3
Pt1Hf1Cd1Ag1O2N1+,2
Re1Hf1Sc2S2O1C1,1
Ru2Ni2N3+,3
Sc1Mn1Cu1Zn1,4
Pt3Sc1O1-,3
Ir2Ti2S3,2
Hg1Os1La1Pd1O2N1C1-,2
Y3Cu1N3-,3
Os1W1Ta1Ni1O1C1,2
Ta2Hf2N2C2+,2
Fe3Pt1-,14
Ru3Cu1S1N1C2-,4
La1Ru1Y1Fe1N3,4
Hg1Au1Hf1Pd1S3,2
Ta2Ru1Zr1O3C1-,3
Hf1Zr1Zn2C4,1
W1Zr1Y1Fe1N3C1-,4
W1Cu1Fe1Sc1N2C1-,3
Ir1Ag1Zn1Ni1S1C3+,2
Au1Re2Ta1S1O1C2-,1
Os1Zr2V1O4+,1
Au1Hf1Co1Cr1C4,5
Ag2Tc2C1,5
