cluster,Predicted SM
Hg1Au1W1Tc1O2C2,1.712889400120016
Os1Ta2Nb1C4+,1.7306844011824167
Zr1Cd1Re1Hg1,2.853665447272445
Y4O1+,1.7829636326806373
Re1Hf1Zr1Zn1N4-,2.1256862439425066
La1Pd1V2N1C1-,2.849848762073372
Au1Re2Ag1O1N2C1-,1.9545072339925995
Os1Nb2Zr1O4+,1.5964839237151407
Ta1Ag1Zr2S1O1-,2.1194383957605747
W1Ta1Zr2O3N1+,1.61257421780837
Zn2Rh2+,3.127915984227994
Zn3V1C1-,2.7373470757349625
Pd2Nb2S2,2.321145787415395
Ir1Os1Co1Ti1S1N2C1,3.5864050399180183
Pd2Y1Ni1S3N1,2.083018826414301
Mo1Ni1Cr2O1N1-,7.740151157586964
W2Ta1Zr1O4+,1.6077658161500517
Ag1Rh1Cu1Cr1C2-,4.6881755309684205
W1Ta3O2+,2.1026129644546154
Cd1Pd1Zr1V1S2O1C1+,1.8320182617959175
Hg2Pt1Tc1S1O1C1,2.6416784717396764
Ir1Ta1Hf1Nb1O4-,2.689622654569686
Ru1Cr3S2C1+,10.272821138981444
Co2Sc2O3-,6.16424713985301
Hf1Fe3S3+,10.488223436001064
Ta3Nb1S1C3+,1.5816445570911564
Tc1Co2Mn1N1C1,8.911465070315003
Os1Ta1Ag1Zr1S1O3,1.7039639776994435
Ta2Ru1Zr1O4,1.8579562796478315
Re1Ta3C4+,2.1809184367191925
Ir1Ta1Ag1Rh1S4-,2.0494066755335947
Hg2W1Pd1S1O2C1,1.5080588551887406
Hf1Tc2Y1S1C2+,2.1554274911466225
Hf1V3N1,1.9448407808067445
W1Ta2Zr1O3C1-,2.671772460024282
Au1Re1Y1Ti1S1O1N2+,1.5307809980961409
Au1Pt1La1Y1S1N1C2,1.5624525392772788
Ta2Zr2C4+,1.5806429228023364
Os3Y1S1N1+,1.9985300762405391
Ag2Mo2S3-,1.7034406025387256
Re1Ta1Nb1Zr1O4-,2.2707705219436973
Os1Ta1Hf1Y1O4-,1.870387515959629
Ag1Y3S2,2.5584239757178344
Os3Hf1O1+,4.148136162610747
Co4O1,9.132246087499812
Hg1Ta2Mo1C1+,1.8486031792789792
Ru4S1-,10.641413687873442
Ag3Zn1O2+,1.7759958950414645
Ru1Mo3O1+,2.725747369952092
Os1Hf1V1Sc1S3O1+,1.5812750420615431
Mo1V1Sc2O1N1+,2.2220449939685105
Au1Ag2Mo1N1C2-,2.811172445498211
Y2Zn2O2-,1.9744561596451933
Hf3Ti1S1O2C1-,2.3390628824774518
Cd1Rh1Mo1Ni1C2-,3.6860917885104447
Os1Zr2Y1O4-,1.6844152226835611
Rh2Sc2N1C1+,1.8015677149009344
Pt1Ir1Nb1Sc1O1C2,1.6291296952325496
Y4S1-,1.7921501526067831
Au1Pd1Fe1Mn1S1O1C1+,8.330110240024215
Re1Ag1Rh2S2,1.9191614444027216
W2Sc2O3+,1.6412834898851447
Hg1Rh1Zn1Sc1S1O2C1-,1.4959650266254618
Pd1Fe2V1O1N3+,6.72719211584328
Rh2Sc2O3-,2.1814445151179624
Ni3Co1O2,3.137140765051041
Ir1Ta1Pd1Ti1S2N1,1.660382290885781
Pt4+,2.088088221099821
Pd1Tc2V1S1-,4.516266139533903
Hg1Ru1Zr2N3+,1.5944037120796826
Re2W1Tc1O2C1,2.3297843328013483
Hf3V1O1N2+,3.422142562078718
Ir1W1Zr2O4+,1.5764372804521547
Os2Co2S1O1+,7.212133732091421
Os1Ta2Ti1O3N1-,2.347757360577066
Re1Hf1Cd1Rh1O1,2.487478771760555
Ru2Cr2O1N2,5.603317112624824
W1La1Ag1Y1N1-,2.39399865914863
Ru1Ni3S2-,6.322188530687445
Ta2Nb1Y1C4+,1.5261146020690417
Ru2V1Ti1C3-,1.8599248235198755
Cd1Mo1Zn2S1O1N1+,2.055899865452657
Pt1Hf1La1Cu1S1N2C1-,1.831999673228753
Re1W1Hf1Zr1N1-,2.748512098575779
Au2Pd1Rh1O4,2.4175094666183
Os1Hf3O3C1,1.6021794270796756
Ir1Hf2Nb1S1O3+,1.6044968440341834
Re2Co2N1C2-,4.491289906803966
Pt3Cr1O2C1,4.470740118355607
Ru3Cr1S3,3.7941935445095103
Os2V2N3+,2.064212868985086
Rh2Co2O1N2,5.536565706549911
Hg1Au1W1Rh1S4,1.7558766991894716
Hg1Au1Pt2C3+,1.496359205559984
Pt1Ta1Co2S1N2+,3.3760548331600875
Ta1Cd2Mo1O2C1,1.9930207715882304
W1Zr3O1C3+,1.5701230984745944
Hf1Tc1Mn2O3N1,6.847128770582593
Os1Ta1Hf1La1O4+,1.5851551035544085
Pt2Ag2O1-,1.6084035497668123
Pd1Mn2Cr1C1,12.423381727109255
Ru1Tc3N2,2.390259133203984
Ta1Zn1Cu1Sc1N1C1,1.707573118761787
W1Pd3S1,2.449139423058259
Co3Cr1S1+,9.966535685725756
Hg1Ti3N1+,2.3354483274635367
Tc1Fe2Cr1N3C1+,9.445573059162168
Os1Hf1Zr2O4-,1.9442306156891416
Ag2Ru1Ti1S3N1,1.6785689036473128
Ta1Sc3O2+,2.068398270465252
Hg2W2O1C2+,2.06954662227172
Ta2Ru1Fe1S1O2N1-,4.570696620294759
Au1Y2Cr1S1C1-,4.934885704767215
Cd3Cr1S1+,5.424655824351451
Os1Ta1Hf1Sc1O4+,1.5782771880699358
Cd1Cu1V2S2O1N1+,1.4602957548922664
Re1Cd1Pd1Tc1O1C1,2.017775032856695
Pt2Nb2N1+,1.813203448556888
La1Ag1Y1V1S1O3,2.0196578837695176
Ta1Pd1Y1Cr1S1,2.756533991462998
Zr1Ni1Ti2S2O2+,1.769908981550001
Re1Hf1Mo1Y1O1+,1.853841173827092
Ta4O3+,2.3151366305583982
Cr1V3S1C1+,4.140787573677184
La1Tc3O3,2.523616012233804
Ir1Ta1Zr1V1O4+,1.9766896845072184
