cluster,AEPA
Re1O1-,2.9743
Ru1S1,2.1264
Tc1C1,3.2320
Mn1N1+,1.2741
Ni1N1+,0.9951
Pd1S1,1.6176
Re1O1+,2.3008
Ru1S1-,1.9213
Tc1C1-,3.1171
Mn1O1,2.4340
Ni1O1,2.2538
Pd1O1-,1.9000
Re1S1,2.0904
Ru1S1+,1.7340
Tc1C1+,2.8972
Mn1O1-,2.3236
Ni1O1-,2.1413
Pd1O1+,1.2773
Re1S1-,1.9337
Sc1C1+,1.8105
Tc1N1,2.7770
Mn1O1+,1.5883
Ni1O1+,1.6227
Pt1N1,1.9839
Re1S1+,1.8139
Sc1C1-,1.7203
Tc1O1,2.8727
Mn1S1,1.9314
Ni1S1,2.0210
Pd1S1-,1.5653
Rh1N1+,1.5180
Sc1O1,3.6117
Tc1O1-,2.9246
Mn1S1-,1.5216
Os1C1,3.4160
Pd1S1+,1.4905
Ru1C1-,3.1438
Sc1N1,2.2956
Tc1O1+,2.0877
Mn1S1+,1.3867
Ni1S1-,1.5705
Pt1C1,3.2227
Ru1C1+,3.1817
Sc1O1-,3.6408
Tc1S1,2.3399
Mo1C1,2.4526
Ni1S1+,1.5494
Re1N1-,3.3463
Rh1N1,1.8836
Sc1O1+,3.5601
Tc1S1-,2.0090
Mo1C1-,2.5951
Mo1C1+,2.2746
Pd1C1-,2.0389
Rh1C1,3.0144
Rh1N1-,2.1736
Sc1S1,2.6482
Tc1S1+,1.7785
Mo1N1,2.7886
Os1C1-,3.7183
Pt1S1,2.1641
Rh1O1-,2.4691
Sc1S1-,2.3419
Ti1C1,2.1958
Mo1N1-,3.1072
Os1C1+,3.1758
Pt1N1-,2.1136
Rh1O1,2.2021
Sc1S1+,2.5078
Ti1C1+,2.0443
Mo1N1+,2.6675
Os1N1,2.9571
Pt1N1+,1.7876
Rh1O1+,1.6176
Ta1C1,2.6688
Ti1N1,2.7180
Mo1O1,2.7862
Nb1C1+,2.5721
Nb1N1,3.1817
Nb1O1,3.8815
Nb1O1-,3.8792
Ni1C1,2.1763
Ni1C1-,1.9226
Ni1C1+,1.9908
Os1S1-,2.2491
Re1C1,3.0245
Ru1N1+,2.4469
Tc1N1-,3.1454
Mo1O1-,2.8077
Os1O1,2.7333
Pt1O1,2.2272
Rh1S1,1.8715
Ta1C1-,2.9203
Ti1N1-,3.1565
Mo1O1+,2.7472
Os1N1+,2.7428
Pt1O1-,2.2011
Rh1S1-,1.8166
Ta1N1-,3.7795
Ti1N1+,2.4868
Mo1S1,2.0036
Os1O1-,3.1546
Pt1O1+,1.9149
Rh1S1+,1.5802
Ta1N1+,2.6815
Ti1O1,3.7143
Mo1S1-,1.8069
Pd1C1+,2.1088
Pt1S1-,2.1708
Ru1N1,2.4370
Ta1O1,4.0430
Ti1O1-,3.6453
Mo1S1+,2.0498
Nb1C1,2.6570
Os1O1+,2.4091
Rh1C1-,3.0439
Ru1C1,3.1922
Ta1C1+,2.2994
Ti1O1+,3.4170
Nb1C1-,2.7523
Nb1N1-,3.5348
Nb1N1+,3.0859
Os1S1,2.2096
Pt1S1+,2.1133
Ru1N1-,2.7583
Ta1N1,3.2099
Ti1S1,2.7120
Nb1O1+,3.6823
Tc1N1+,2.4550
Nb1S1,2.8070
Os1S1+,2.1687
Re1C1-,3.1542
Sc1C1,1.8781
Ti1C1-,2.0649
Ti1S1-,2.2610
Ti1S1+,2.3262
Zn1O1,0.7630
Zr1S1+,2.7283
V1C1+,1.9606
V1N1-,3.0568
V1N1+,2.4011
Zn1O1+,0.8567
V1O1-,3.2833
Zn1O1-,1.1060
Zr1S1,2.9814
V1O1+,3.0280
Zn1S1,0.7676
V1S1-,1.9212
Zn1N1+,0.6661
V1S1+,1.9669
W1C1-,2.8397
W1C1+,2.5338
Zn1S1-,0.7978
W1N1-,3.4211
Zn1S1+,1.0580
W1N1+,2.8343
Zr1C1-,2.5946
W1O1-,3.3861
Zr1N1,3.0829
W1O1+,3.6724
Zr1C1+,2.5011
W1S1-,2.0370
Zr1N1-,3.5164
W1S1+,2.8063
Zr1C1,2.5565
Y1C1-,1.9157
Zr1N1+,2.9780
Y1C1+,1.9230
Y1N1-,2.7044
Y1N1+,2.1351
Y1O1-,3.8010
Y1O1+,3.7086
Y1S1-,2.6026
Y1S1+,2.7423
Zn1C1,0.7177
Zr1O1-,4.0975
Zn1C1-,0.6208
Zn1C1+,0.9214
Zr1O1+,3.8170
Zn1N1,0.2730
Zr1S1-,2.6908
Zn1N1-,0.5735
Zr1O1,4.0119
Au2O2+,2.0415
Co1V1O1N1+,3.5570
Os1Ta1N2,4.0565
Zn1Sc1S1O1,3.1720
Au2O2-,2.1482
Ni1Sc1O1C1+,3.8850
Ru1Co1N2-,3.4556
Ag2O2+,1.9213
Zr1V1S1O1-,4.0068
Ag2O2-,2.0573
Ag1Ti1O1,3.0866
Ag1Ti1O2,3.6709
Ru1Co1N2+,3.4996
Tc1Ti1O2+,4.0921
Rh1Zr1S1C1,3.8069
Au1Ni1O1C1+,3.7646
Au1Ni1O1C1-,3.8937
Ru1Cu1N2-,3.3624
Tc1Ti1O2-,4.1724
W1Cu1C2+,3.9293
Nb1Fe1N1-,3.2702
Pd1Y1S1,2.8621
Cu1Cr1N1C1-,3.4942
Pd1Y1S2,3.3256
Cu1Cr1N1C1+,3.7190
Co1V1O1N1-,3.6246
Pt1Ir1S1C1,3.7174
Ni2C2-,3.7143
Rh1V1C2,4.1096
