cluster,EZPE
Nb1S1-,-455.187914
Pt1C1+,-157.001383
Re1N1,-132.98117
Sc1N1+,-815.163118
Ta1O1+,-131.954414
Mn1C1-,-1189.034705
Nb1S1+,-454.877334
Pd1N1-,-182.580684
Rh1C1+,-148.259614
Ru1O1,-170.072083
Ta1S1,-455.175916
Mn1C1+,-1188.733958
Pd1C1,-165.824772
Pd1N1,-182.526309
Re1N1+,-132.69097
Ru1O1-,-170.114324
Ta1S1-,-455.220718
Mn1N1,-1205.719389
Ni1N1-,-1563.062766
Pd1N1+,-182.197058
Re1O1,-153.466087
Ru1O1+,-169.750369
Ta1S1+,-454.911353
Mn1N1-,-1205.743437
Ni1N1,-1563.02269
Pd1O1,-203.034969
Re1O1-,-153.518333
Ru1S1,-493.068034
Tc1C1,-118.784566
Mn1N1+,-1205.438456
Ni1N1+,-1562.698595
Pd1S1,-526.067508
Re1O1+,-153.165724
Ru1S1-,-493.118396
Tc1C1-,-118.817604
Mn1O1,-1226.271878
Ni1O1,-1583.564449
Pd1O1-,-203.090611
Re1S1,-476.451023
Ru1S1+,-492.759519
Tc1C1+,-118.504305
Mn1O1-,-1226.295328
Ni1O1-,-1583.587741
Pd1O1+,-202.705321
Re1S1-,-476.504939
Sc1C1+,-798.401696
Tc1N1,-135.49974
Mn1O1+,-1225.952228
Ni1O1+,-1583.235401
Pt1N1,-173.99742
Re1S1+,-476.159149
Sc1C1-,-798.659718
Tc1O1,-155.997451
Mn1S1,-1549.264151
Ni1S1,-1906.576552
Pd1S1-,-526.129098
Rh1N1+,-164.896008
Sc1O1,-835.996549
Tc1O1-,-156.032825
Mn1S1-,-1549.299468
Os1C1,-128.660253
Pd1S1+,-525.750202
Ru1C1-,-132.915788
Sc1N1,-815.40914
Tc1O1+,-155.684099
Mn1S1+,-1548.966621
Ni1S1-,-1906.608877
Pt1C1,-157.339844
Ru1C1+,-132.597408
Sc1O1-,-836.030248
Tc1S1,-478.987506
Mo1C1,-106.136431
Ni1S1+,-1906.259227
Re1N1-,-133.023442
Rh1N1,-165.204967
Sc1O1+,-835.76959
Tc1S1-,-479.028621
Mo1C1-,-106.188392
Mo1C1+,-105.853068
Pd1C1-,-165.871443
Rh1C1,-148.539462
Rh1N1-,-165.255279
Sc1S1,-1158.954944
Tc1S1+,-478.690589
Mo1N1,-122.909752
Os1C1-,-128.723957
Pt1S1,-517.53055
Rh1O1-,-185.770238
Sc1S1-,-1158.997869
Ti1C1,-887.390769
Mo1N1-,-122.940813
Os1C1+,-128.344673
Pt1N1-,-174.073741
Rh1O1,-185.719055
Sc1S1+,-1158.721454
Ti1C1+,-887.154065
Mo1N1+,-122.630571
Os1N1,-145.375149
Pt1N1+,-173.645898
Rh1O1+,-185.394002
Ta1C1,-94.893073
Ti1N1,-904.177769
Mo1O1,-143.400248
Nb1C1+,-94.611922
Nb1N1,-111.660822
Nb1O1,-132.202932
Nb1O1-,-132.234327
Ni1C1,-1546.319458
Ni1C1-,-1546.342294
Ni1C1+,-1546.023155
Os1S1-,-488.908436
Re1C1,-116.251169
Ru1N1+,-149.292028
Tc1N1-,-135.537144
Mo1O1-,-143.433392
Os1O1,-165.849376
Pt1O1,-194.505975
Rh1S1,-508.723965
Ta1C1-,-94.953041
Ti1N1-,-904.210291
Mo1O1+,-143.127105
Os1N1+,-145.061466
Pt1O1-,-194.570846
Rh1S1-,-508.785371
Ta1N1-,-111.734546
Ti1N1+,-903.93521
Mo1S1,-466.37194
Os1O1-,-165.916915
Pt1O1+,-194.14593
Rh1S1+,-508.420461
Ta1N1+,-111.3822
Ti1O1,-924.741675
Mo1S1-,-466.422921
Pd1C1+,-165.527137
Pt1S1-,-517.59783
Ru1N1,-149.570977
Ta1O1,-132.233373
Ti1O1-,-924.768166
Mo1S1+,-466.105054
Nb1C1,-94.873637
Os1O1+,-165.527615
Rh1C1-,-148.58311
Ru1C1,-132.877861
Ta1C1+,-94.605498
Ti1O1+,-924.494254
Nb1C1-,-94.922122
Nb1N1-,-111.700969
Nb1N1+,-111.39831
Os1S1,-488.840097
Pt1S1+,-517.189727
Ru1N1-,-149.614371
Ta1N1,-111.681467
Ti1S1,-1247.697221
Nb1O1+,-131.932817
Tc1N1+,-135.220424
Nb1S1,-455.153169
Os1S1+,-488.539161
Re1C1-,-116.30218
Sc1C1,-798.629836
Ti1C1-,-887.422631
Ti1S1-,-1247.729504
Ti1S1+,-1247.443295
Zn1O1,-1854.553215
Zr1S1+,-444.985537
