epoch,MAE,MSE,Pearson r
0,0.17941168267903942,0.05329065274917899,0.9821761831263077
1,0.12714772460509025,0.028658888761069895,0.9864470069293668
2,0.10663097706417353,0.019815554308820135,0.9903070062722167
3,0.1043540426838018,0.01838160082974814,0.9909164272717562
4,0.16196813125340892,0.03769777621031646,0.9917968497459031
5,0.1296668852900381,0.02611230440248613,0.9915972835675377
6,0.09347362436328854,0.01643926214784377,0.9920386648967653
7,0.07575840502792333,0.010456458495602975,0.9943406239183528
8,0.0944662833788205,0.014977039651990619,0.9936381521350689
9,0.09490242886989249,0.015470087670918056,0.9940902577510192
10,0.07240972270755126,0.010041347970853093,0.9947257786802159
11,0.09931837542196809,0.015462247587901505,0.9949203172818992
12,0.07749346723390639,0.011172457539944529,0.9947381462406268
13,0.06821999340255326,0.008991628124180612,0.9954081941252599
14,0.08459056694782342,0.012219147483766143,0.9951419756086243
15,0.07263970008064981,0.009855153427242466,0.9947705297677357
16,0.07867468873561707,0.011079134346439303,0.9953198294119211
17,0.07427553619737592,0.011852410440270637,0.9944058318404335
18,0.06805198200341477,0.00822861237639207,0.9962040143323089
19,0.06588719191439955,0.008205060985315612,0.9958693302173216
20,0.07613466384756871,0.010030053219130643,0.9960926711815985
21,0.06329369683169915,0.007312550068065656,0.9963662204459343
22,0.08640503227031046,0.012646444034460207,0.9959613764020988
23,0.06027762282195303,0.0066719250273677535,0.9964949030885336
24,0.06404313383090325,0.007410687835831359,0.9961530430154212
25,0.07609374320174817,0.009382774899709028,0.9966517557545506
26,0.06409826913663268,0.008437346598407162,0.9958689323391766
27,0.08865764952522172,0.01843355059873933,0.9920565193442511
28,0.06334745963149455,0.007337841538730562,0.9966651704826659
29,0.07575237909071333,0.010742653832949605,0.9962579596926415
30,0.06414027411003814,0.008302464743722123,0.9966505361784824
31,0.07595846312451798,0.010024388580991516,0.9962999593965705
32,0.05506922317005475,0.005886592636688474,0.9969752969876807
33,0.060965637784494625,0.007529303840347207,0.996177194798925
34,0.0704554275205252,0.015622229002197506,0.9929246286857065
35,0.058774194558715825,0.0069555301950081526,0.9964260582658923
36,0.05524080659095259,0.005831508628944849,0.9970601980845507
37,0.10134673642125896,0.028350288581197734,0.9886630964163597
38,0.054824537353521614,0.00578676145891366,0.9973265095521043
39,0.06003898776463061,0.007885928168910537,0.9966971929776911
40,0.053481331316052524,0.005638223634112311,0.9971685065053204
41,0.08301684471993194,0.015381894369001375,0.9947059040871771
42,0.06622617984462753,0.009131849869461703,0.9971862128355407
43,0.05895845839800142,0.007264143665341237,0.9967844402880118
44,0.10361677454045247,0.015520356476496973,0.9970863536732477
45,0.05494653856313872,0.005805939670565567,0.997323769651663
46,0.056578122477246494,0.006481454151189437,0.9971341433980605
47,0.06471919286463813,0.007225348913021597,0.9971394290811166
48,0.058391655780100096,0.006963949239346918,0.996981032474529
49,0.05165921669526754,0.004977643034365522,0.997321820765349
50,0.07411741380417072,0.008491058541721868,0.9973866924741551
51,0.06359397805121696,0.009116537235199259,0.9967612482465482
52,0.06540290499540193,0.00739267333033623,0.997315823160302
53,0.05966540646107514,0.00722042936725088,0.9974275345838572
54,0.06205516532437316,0.007794481381117603,0.9975352448536742
55,0.05547314282700074,0.005240804805941121,0.9975556916273669
56,0.06314958800196019,0.014951563008541,0.9925146799883929
57,0.06678389713159529,0.008252939344776404,0.9973309679674718
58,0.0759911175256031,0.009372967705775252,0.9969340335096453
59,0.07556697109201015,0.009206946770436791,0.9972098996238749
60,0.059183106466906145,0.005923512520413235,0.9976627053351086
61,0.049208100133476554,0.0043809796743160215,0.997670490905122
62,0.05957215750295685,0.007703818956978522,0.9968986215180109
63,0.06544866130298257,0.007703798165472182,0.9975607400687589
64,0.08927648289065593,0.014169062777915045,0.9958554357948234
65,0.06424409082266867,0.008672267880857506,0.9965347128386853
66,0.07464251570807129,0.009057490483963844,0.99698291937943
67,0.057075027502127146,0.005897355197745367,0.9973582602362067
68,0.06105210973912334,0.008326696670586069,0.9969715291548501
69,0.06383151190398875,0.00687249025014686,0.9975597533052123
70,0.06775338287990017,0.007701348732887492,0.9972474374950543
71,0.06111044172614003,0.0064834974122102654,0.9966216577997241
72,0.06342460293082437,0.007807830155533448,0.9967290235416846
73,0.05127912961516495,0.0047888649964301895,0.9975442189028615
74,0.0765623460532085,0.018847831232575794,0.991378763625039
75,0.05709696406877303,0.006626484567438231,0.9969336034229446
76,0.08858572429499101,0.01130139014040459,0.9974634081695263
77,0.06026319364718142,0.007218838047009519,0.9977036267484343
78,0.06973435725046075,0.01105808650878028,0.9970116462379026
79,0.05723248999758636,0.006054129469913815,0.9972362284025243
80,0.05915246568285452,0.007786033670127558,0.9972157085154904
81,0.060776136977743825,0.0071771472340802795,0.9970494489189587
82,0.06713708847763405,0.009973354315881705,0.9971307129496215
83,0.07563354377101805,0.012719696100829726,0.9947879283101214
84,0.06126249421841392,0.006848683564309945,0.9971229750215815
85,0.07116982319355561,0.009716685370577089,0.9975626324027269
86,0.0555842112176359,0.005506626285087772,0.9974932531577827
87,0.055491860180079705,0.0065866182437265015,0.997208259085295
88,0.05381320427427751,0.004881185292136138,0.9978999246179178
89,0.07302280815311153,0.012596721012438371,0.9955017340774929
90,0.07236003985819016,0.011295633337134119,0.9970706236240328
91,0.0654579567889833,0.009739395821402902,0.9968902871505797
92,0.061203237049784504,0.006798859693286372,0.9969794656361053
93,0.07525366786366433,0.011160487726595014,0.997073452719722
94,0.049829162143758224,0.004585277025036257,0.9976620601002221
95,0.05661345213896562,0.007077258684553873,0.9971638605860524
96,0.06904772974530884,0.011080077008987235,0.9970967908011416
97,0.061174183534815456,0.012688229495876321,0.9936979819968924
98,0.07351903100223381,0.01829463621617526,0.9905813170921045
99,0.061683216900226996,0.007479668081492909,0.9971350072350821
100,0.07344773272663675,0.01014671597603205,0.9961197168303099
101,0.046995509955469125,0.004120829589609368,0.9978778985434267
102,0.08427375395404624,0.011314656188767263,0.9974439839446879
103,0.06277927312828119,0.007458861081228495,0.9975962786871334
104,0.058993283852308356,0.006298737420357252,0.9975154320401801
105,0.06428285340538761,0.011632757665524733,0.994883279634179
106,0.052673927296691445,0.006303686175795747,0.996716648246376
107,0.052643062621546895,0.004960048463060212,0.9976727845643073
108,0.0683078813949923,0.010537520122523701,0.9968143058100642
109,0.07153780571052702,0.011645858203123055,0.9959470986155388
110,0.06425495328895925,0.007323052567085388,0.997532026348374
111,0.06784774959643522,0.011964605857253636,0.9957658665061253
112,0.06634422093162345,0.00762481023900246,0.9971951444898133
113,0.08065724798279478,0.01522210606991912,0.996823234226344
114,0.06854922614524397,0.008755881776337897,0.997052613761117
115,0.06374498584884886,0.007016394057548834,0.9970974469296261
116,0.07306713943217097,0.009000301664348087,0.9963367448364497
117,0.07056026661457532,0.009575011007891656,0.995320791823321
118,0.0684075125553143,0.01031897907243691,0.9970768889706316
119,0.08249315049591867,0.011286832899038602,0.9968461137366471
120,0.07715282155956114,0.012537296483663477,0.9956997098684328
121,0.055719786118875424,0.005285835824918373,0.9974066960435176
122,0.05762864226673858,0.00680868518854182,0.997487635143844
123,0.05895342414258212,0.006967414210274496,0.9975033701164809
124,0.07834399358499826,0.011672459926113996,0.9967423980215496
125,0.06459332010158532,0.008913844619482057,0.997080666068466
126,0.07018271886778948,0.00844591689375439,0.9968555636679897
127,0.08472200940107573,0.017089816619738817,0.9929521330627482
128,0.07652290613550444,0.01200642105947892,0.9963929829375447
129,0.07757465069328941,0.010523928472248803,0.9965791762929316
130,0.06983407435373737,0.01211995368228935,0.9966659629022651
131,0.06371995607328772,0.006985216460591244,0.9972645088797262
132,0.07850932588040409,0.010111667216683131,0.9968637834858296
133,0.056142173806505984,0.0070764391349502735,0.996433422544054
134,0.059196831111400804,0.0075392944178670875,0.9971780744668602
