cluster,FEPA
W1Fe1S2-,-3.3672
Ta1Ag1Fe1O1N1C1+,-4.3866
Mo2C1,-2.9921
Y1Zn1S1N1+,-2.5791
Ta1Pd1Mo1Sc1O3N1+,-5.0268
Ag1Fe1Cr1O2,-3.0725
La1Sc1O1+,-3.6893
Os1W1S1N1,-3.7334
La1Ni1S1N1+,-3.3024
Sc3+,-1.6551
Zr1Ti1S2,-4.0182
Zn1Mn1S1,-1.5043
W1Ag1Rh2O2N1+,-4.1156
Ta1Cd1Zn1S2+,-2.7725
Ni1Mn1O1C1-,-3.5192
La1Mo3O4+,-4.9157
Y1Mo1-,-1.2566
Mo2Tc1,-2.1419
Os1Pd1Y1S1O1N1-,-4.1464
W1Pd1Mo1O1C2,-4.5141
Ru1Y1C1+,-3.5042
Hg1Ag1Ti1O2N1,-3.0903
Mo1Sc1N1C1-,-3.9447
Mo1Nb1Y1S1C1-,-3.9675
Zn1Sc1S1O1-,-3.0707
Tc1Mo1S1C1+,-3.6274
Hf1Ru1Mo1S1N1C1,-4.4552
Pt1Ir1Pd1C2,-3.9831
Y3N1+,-3.5109
Pt1Os1La1Fe1O3N1-,-4.6334
Pt1Re1Mo1Nb1O1C1,-4.4666
Cd1V1S1O1-,-3.0045
Hg1Os1O2,-3.1409
Ag1Sc1O2,-3.5215
Ir1V2O2,-4.4328
Hg1Ir1N2-,-2.9494
Rh1Zn1S1O1,-2.4275
Y2Sc1N1-,-3.4544
Hg1W1S1,-1.7184
La1Zr1C2-,-4.1674
Rh1Mn1O2+,-2.9603
La3S2+,-3.9939
Ir1Zn1N1+,-2.578
W2Ti1C1,-3.8083
Au1W1Mn2S2+,-3.2394
Pt1Cd1O2,-2.4193
La3S1N1C1,-4.309
Hg1N1+,-0.6555
Os1La1N2,-3.9528
Cd1Ni1S1N1,-2.1007
Ta1Tc1Nb1Zr1O4+,-5.8567
Au1Ta1O1C1-,-3.8553
Ta1Mo1C1+,-3.6015
Tc1Zr1O1N1,-4.2729
Ir1Re1O2-,-4.5195
Ag2Ti1O1,-2.6993
Cr3C1+,-2.4262
Nb1Fe1Cr1O2N1+,-4.3578
Pd1Tc1V2S1O2,-4.2868
V1Ti1S1,-2.9169
Cd1Fe1S1C1+,-3.0307
W2S1C1,-3.9653
Hf1Mo1C1+,-3.3883
W1Nb2O1,-4.1949
Ta2Zn1O1,-3.2031
Ir1Nb1O1N1+,-4.1308
Cu1Os1+,-1.4871
Ir1Ti1C2+,-4.4536
Au1Cd1Rh1Tc1C2+,-3.4083
W1Y2C1,-3.4169
Re1W1Ag1Pd1N3,-3.7302
Hg1Mo1N1C1-,-3.114
Pt2Zr2O1+,-5.002
Au1Ir1O1,-2.4885
Ti1V1-,-1.6624
Fe1Cu1,-0.8554
Hg1Ru1S2-,-2.3442
Ta2Mn1C2,-4.4472
Au1Cu1S1C1+,-2.8765
Hg1Ru1S1C1-,-2.7635
Ag1Rh1N1-,-2.0914
Pd1Zn1S1N1-,-1.9046
Cd1Tc1C2-,-3.2899
Mo1Ni1O2+,-3.7449
Pt1Pd1Tc1O1N1+,-3.4008
Mn1Tc1,-0.7581
Ru1Mn1O1C1-,-3.7989
W1Ta2Hf1O2C2+,-5.8317
Au1Co1S1,-2.3305
Au1Ag1Co1N1C2-,-3.7643
Ir1Ta1Cu1V1S1C2,-4.5701
Au1Mo2S2+,-3.2385
Hg1W1S1N1,-2.8339
Ir1Cu1V1O1,-3.339
Mo4S1+,-3.399
Ta1Zr3O1C3+,-6.0293
Sc3,-1.1935
Y1Ni2C2,-3.9826
Au1V3O1-,-3.1169
Co1Cr2S1,-2.2321
Re1Ru1C1-,-3.1976
Tc2Co1S1,-3.0713
Os2Ti1O2,-4.459
Ta1Rh1Zr1O2-,-5.1238
Cd1Tc1O1-,-2.1873
Mn1V1S1C1+,-3.31
Pt3Cr1O2-,-3.6889
Ir1La1S1C1-,-3.951
Ta1Pd1Co1S1O1N1+,-4.1978
Ir1Ta2La1O4-,-5.8834
Y1Co1C2+,-4.3175
Ag1Pd1Ru1S1C2,-3.526
Ta1Sc3S1N2+,-4.7488
Hf1Zr1S1C1-,-4.2169
Re1Ag1Y1Zn1S1O1C1,-3.7091
Os1Cu2O2,-3.5661
Os1Nb1Fe1Ti1O1C1,-4.6436
Ag1Co1O1N1-,-2.972
Hg1Ru1O1C1+,-3.4956
Re2O1+,-3.1754
Cd1Tc1S1+,-1.748
Cu3S1N2,-3.1129
W1Ta1Hf1Zr1O4-,-5.866
Os1Ir2,-2.7533
Os1Re1Y1Cu1O1N2,-4.3216
Mn1Co2+,-2.18
Mo4N1-,-3.3787
Ni3N2C1,-3.8844
Ru1Fe1S1C1,-3.4614
Mn3S1O1C1+,-3.5416
Fe2Ir1-,-2.1595
Ag1Cu1O2+,-2.0782
Re1Hf1Cu1N2-,-3.9191
V2O1N1+,-4.1403
Ta1Mn1N2,-3.8302
Re1Rh1O1,-3.2348
Pt1Zr1Y1Fe1S2O1C1,-4.7939
V1Ir2,-3.0476
Au3Os1S1C1+,-3.1963
Pt2Tc2S1,-3.3662
Ti3N1C1,-4.2241
Mo2Zn1O2,-3.1695
Hg1Y2Cr1S2C2+,-4.0592
Hg1Hf1S1O1,-3.3131
Rh2S1N1+,-3.01
Ta1Hf1Ni1V1O2C1-,-5.0532
Hg3S2N1+,-1.9084
Cd1Re2,-1.204
Hg1Au1N2,-2.5353
Fe2Cd1,-0.6577
Ag1Nb1N1C1,-3.5357
Cd1Cr3C2,-2.7067
Ag1Nb2S2O1+,-4.2164
Hg1Re1O1N1,-3.006
Os1Cu2S2,-3.0011
Os1Mo1Cr1Sc1N1C1-,-3.9623
Os1La1Rh1Zr1S1C1+,-4.7186
Nb1V1S1O1-,-3.952
Rh1Tc1Fe1O2+,-3.675
Pt1Co1S1O1+,-2.9316
Y1Fe1S1,-2.746
Hg1Y1Mn1Sc1S1C3+,-4.1209
Pt1Hf1O1,-4.2697
Sc2Cr1+,-1.4728
Hf1Tc1S2+,-3.877
Hg1Re1Pd1Sc1O3C1-,-4.3121
Pt1Nb1Ni1Fe1S1O1N1C1+,-4.5624
Pd2Y2C2,-4.0713
V1Sc1S1C1+,-3.9034
Ir1Cr1S2-,-3.0469
Ta1V1O2,-4.5975
W1Mn1N1C1,-3.7416
Cd1Ti3S1O2-,-4.0883
Re3O1N1C1,-4.448
Fe1Cr1N1,-1.9997
Ir1La1Zr1Ni1O1N3,-4.7777
Fe2O1+,-3.0314
Hg1Cr1C2,-2.7861
Hg1Pd1V1C3+,-3.6263
Mo1Y1O1,-3.0697
Hg1La1Nb1S1N1C1-,-3.7647
Os1Zn1S1O1-,-3.0813
Hg1Zr1Fe1O1,-2.7622
V1Cr1,-0.8574
La1Pd1O1C1,-3.8846
Zn2Re1+,-0.7653
Hf2Ag1S2N1+,-4.2064
W1Rh1C2-,-4.1587
Au3Zr1O2,-3.4555
Pt1Zr1S2+,-3.6507
Ta3C1+,-4.664
Hg1Tc1Nb1Ti1N2C2-,-4.5981
Hg2Co1N2,-2.4806
Tc2Zn1O1,-2.5147
Hg1Hf1S1C1+,-2.6815
Os1Co2O1,-3.3685
Au1Cu1Mn1O2C1+,-3.7242
Re1Os1+,-2.1346
Ta1Y1C1-,-3.3727
Nb2Sc2S1-,-3.2483
Cd1Mo1Co1S2N1,-3.2758
Tc1La1+,-1.8621
Os1Y1O1C1-,-4.4528
Cu4O1+,-2.4784
W1Hf1O2,-4.5172
W1Au1,-1.2697
Cu2C1+,-2.2269
Nb1Ni1Ti1S2C1,-4.3237
Nb1Ti1O1N1+,-4.5367
Os1Zr1O1,-3.9877
Cu2Ta1-,-1.6244
Ru1Mn2O2,-3.2833
Mn1Ag2-,-1.0598
V1Ni1,-1.2965
Hg2Nb1O1,-2.124
Ir1Re1N1-,-3.2357
Mo2Cu2S2+,-3.1838
Rh1Ti1O1N1-,-3.9859
Hf1Co1Ti1C2+,-4.4164
Ag1Y1S1,-2.5114
Ru2Sc1S2,-3.6484
Hf2Zn1N2,-3.8876
Mo1Au2+,-1.551
Re1Ta1Ag1Rh1S2O1C1-,-4.5217
Re1Zn1N1-,-2.6242
Os1Nb1S1N1+,-3.8781
Hf1Zr1S1O1-,-4.3652
Sc1Pt1-,-2.1856
Pt1W1Co1S1N1-,-4.0163
Hf1Cu1N1C1+,-3.7786
La1Zr1C1,-3.3385
Pt1Nb3N1-,-4.1913
Co1Pt2-,-2.48
Zn1Ti1O1-,-2.6412
Tc1Cr1O2-,-3.6908
Ir3Zn1S1N2+,-3.844
Os1Ni1O1C1,-4.0908
Ag1Mn1O2+,-2.6624
Pt1Zn1C2-,-3.3848
Nb2Zn2S1N2-,-3.5363
Tc1Nb1S1O1-,-4.0978
Ta1Tc1S1C1-,-4.1558
Au1Os1Y1O2-,-3.9584
W1Mo1O2-,-4.2924
La1Rh1S1C1+,-3.628
Pd2S1O1-,-2.5214
Tc1Ni1N2,-3.4143
Hg1Co1C2,-3.1546
W3S1N1C1-,-4.6445
W1Tc1C2,-4.3424
W3Pd1C1,-3.9599
Cd1Mn1O1+,-1.8425
Ir1Tc1Ti1O1C2-,-4.8452
W1Ru1O1+,-3.8298
Zr3S1C1,-4.5337
Au1Hf1Cd1Fe1N3,-3.3841
Au2Tc1S1,-2.3573
Re1Ru1O1-,-3.4009
Os1La1Ag1O3,-4.2095
W1Hf1Zr1Ni1S4+,-4.7488
La1Rh1Ru1S1N1C1+,-4.3268
Os1Ta1Zn1Sc1O2C2,-4.977
Pd1Pt1-,-1.1899
Hg1Zr1S2,-2.9582
Nb1Cr1O1C1+,-4.1733
Zr1Y1N1C1+,-4.3807
Fe1Co1Pd1-,-2.0946
Rh1Zn1N2-,-3.0689
Ni1Nb2,-2.595
Re1V1C2-,-4.2027
W1Zr2N1,-3.836
Rh1Ti1N2-,-3.7674
W1Hg1,-0.2057
Pt1Rh1Mn1O1C2-,-4.3097
Os1Cu1S1C1-,-3.5246
Os1Cu1N1,-2.7392
Ir1Y2O1,-4.3743
Hg1Ru1Co1S1N1C1+,-3.5087
Cd2S1C1+,-2.4239
Cr1Cu1-,-0.7275
Ir1Os1N1-,-3.1103
Nb1Zr1N1C1-,-4.6732
Mo1Co2C1,-3.226
La1Ta1Ir1Au1-,-3.1267
Au1Cd1Ni1Co1O1+,-2.4571
Ag1Au2,-1.1566
Ru2Sc1S1,-3.2319
Cd1Y2N2,-3.2038
Hg1Rh1O1C1+,-3.4986
Rh1Mo1Sc1S1O1C1,-4.3011
Re1Ta1Tc2O2N1C1-,-5.2269
Cu1Sc2C3-,-4.158
La1Cd1Mn1N1+,-2.2699
Tc2Cr1O1,-2.9286
W1Cr2C1,-2.6399
Re1Cr1S1O1+,-3.2832
Hf1Zn1S2,-3.0081
Tc1Zr1S1O1,-4.1609
Mo1Y1S1N1-,-3.5133
Ni1Co1S1+,-2.6327
Tc1Zr1S2-,-3.8042
W1Cd1C2-,-3.2762
Co1Zr2+,-3.1192
Ta1Mo1O1N1,-4.252
Ti1Sc1O1C1,-4.3573
Cd1Cu1Cr1Ti1S2O1N1,-3.5173
Au2Zn1S1O1C1,-3.252
Hg1Y2S1N2+,-3.6381
Pd2C1,-2.4916
Pt1V1C2,-4.2082
Ag1Fe1C2,-3.3235
Re1Ag2N1,-2.3147
Hg1Au1Pt1Mo1N3,-3.2338
Os1Ti1O2-,-4.4412
Ag1Y1S1C1-,-2.748
W1Fe1S1,-2.5879
Ta1Tc1S1O1,-4.2821
Au1Re1S2+,-2.8831
Hg1Tc1Zn1V1O2C1+,-3.5245
Nb2Cd1,-1.6124
Mn1V1S1N1,-3.2795
Co1Mn1V1Ti1S2C1,-4.0716
W1Ni1S2-,-3.4919
